game_pk,f5_away_runs,f5_home_runs,f5_outcome
776648,3,1,AWAY
776628,1,6,HOME
776613,0,3,HOME
776597,0,7,HOME
776588,1,3,HOME
776570,0,11,HOME
776545,3,1,AWAY
776525,4,0,AWAY
776520,7,4,AWAY
776498,0,2,HOME
776482,2,5,HOME
776455,2,8,HOME
776440,2,1,AWAY
776420,1,2,HOME
776409,8,2,AWAY
776397,6,1,AWAY
776386,1,0,AWAY
776367,0,2,HOME
776351,3,0,AWAY
776336,0,0,TIE
776320,3,3,TIE
776315,5,1,AWAY
777825,5,2,AWAY
776286,0,3,HOME
776259,6,8,HOME
776252,3,0,AWAY
776221,5,8,HOME
776219,1,1,TIE
776200,2,0,AWAY
776165,8,2,AWAY
776160,4,2,AWAY
776143,7,0,AWAY
778559,0,3,HOME
778530,0,1,HOME
778462,4,2,AWAY
778419,4,7,HOME
778405,0,2,HOME
778383,4,0,AWAY
778329,2,5,HOME
778308,0,0,TIE
778269,2,5,HOME
778259,2,0,AWAY
778217,1,3,HOME
778200,1,3,HOME
778142,3,2,AWAY
778124,2,0,AWAY
778066,3,3,TIE
778031,0,4,HOME
778015,3,1,AWAY
777989,0,3,HOME
777931,1,0,AWAY
777895,0,2,HOME
777869,0,3,HOME
777858,3,2,AWAY
777800,2,3,HOME
777787,1,2,HOME
777734,3,2,AWAY
777690,0,1,HOME
777663,0,0,TIE
777630,4,2,AWAY
777622,3,1,AWAY
777546,2,4,HOME
777510,2,2,TIE
777485,1,1,TIE
777441,1,2,HOME
777428,2,1,AWAY
777397,4,5,HOME
777377,0,0,TIE
777350,0,1,HOME
777308,0,2,HOME
777285,6,4,AWAY
777221,5,4,AWAY
777206,1,1,TIE
777137,1,2,HOME
777086,2,4,HOME
777067,3,3,TIE
777040,0,1,HOME
776991,1,0,AWAY
776922,1,0,AWAY
776875,5,0,AWAY
776862,7,2,AWAY
776835,2,0,AWAY
776797,4,0,AWAY
776753,1,2,HOME
776722,2,3,HOME
776685,0,0,TIE
776643,7,3,AWAY
776629,7,7,TIE
776571,0,1,HOME
776555,3,3,TIE
776531,1,1,TIE
776472,3,1,AWAY
776449,1,3,HOME
776393,2,0,AWAY
776385,1,0,AWAY
776319,3,4,HOME
776301,1,6,HOME
776248,5,0,AWAY
776182,9,0,AWAY
776169,3,2,AWAY
778553,2,2,TIE
778550,1,2,HOME
778531,2,4,HOME
778516,0,1,HOME
778512,3,4,HOME
778483,3,0,AWAY
